,ANTONIO_NARINO,BARRIOS_UNIDOS,BOSA,CANDELARIA,CARCELES,CHAPINERO,CORFERIAS,ENGATIVA,FONTIBON,KENNEDY,MARTIRES,PUENTE_ARANDA,RAFAEL_URIBE_URIBE,SAN_CRISTOBAL,SANTA_FE,SUBA,SUMAPAZ,TEUSAQUILLO,TUNJUELITO,USAQUEN,USME,Total Bogota
P_Liberal,3308,4980,10847,2194,40,3791,1978,15518,9609,18192,3708,6843,8668,8505,3975,17335,190,4615,3914,8827,6921,143958
P_Conservador,1735,2929,5947,667,47,3822,1464,11049,5228,11982,1563,4235,4020,5319,1454,13983,18,3404,2499,9438,4865,95668
P_Opcion_Ciudadana,554,680,2759,202,23,422,554,2917,1239,4079,452,1292,1469,1663,486,3429,12,661,840,1484,1294,26511
P_Cambio_Radical,3712,5484,13133,1791,29,5108,3428,22137,9677,25139,3005,8653,9460,9899,2969,23762,88,5939,6457,15245,8242,183357
P_Alianza_Verde,9563,19930,20318,3208,86,25557,12610,70263,30298,57855,6608,23089,17248,16177,6713,96088,21,28750,10587,64707,9230,528906
P_MIRA,3065,2764,10801,477,13,1243,1713,16622,5732,15897,1472,4978,5558,5953,1185,14607,5,1613,3213,5384,3969,106264
P_de_la_U,2303,3679,8485,822,37,2425,1780,11809,5408,15735,1948,5717,6804,6635,1470,12206,9,3249,3872,7080,6209,107682
Polo,3405,4676,9787,1814,54,4616,2905,18161,7892,20277,2212,7550,7186,7065,3169,19196,114,8159,4460,10349,4545,147592
P_Centro_Democratico,8614,15311,22521,2412,44,25213,9605,46441,21678,47329,7396,18812,15924,13617,5034,81685,34,18280,9945,69439,10642,449976
P_SOMOS,421,779,1508,117,1,418,467,3397,1198,3010,584,1427,910,853,307,3562,0,929,587,1988,508,22971
FARC,276,287,773,210,7,303,219,985,487,1113,208,483,471,480,328,1000,30,670,290,550,548,9718
Colombia_Justa_Libres,2422,4253,8869,550,10,1306,2751,13745,6214,16646,1536,6584,5549,4960,1089,14878,4,2367,3386,6261,5363,108743
SI_SE_PUEDE,25,49,156,11,1,44,69,259,108,308,40,66,158,117,22,231,0,72,57,115,108,2016
Union_con_Fortaleza,26,56,331,16,1,54,58,332,134,562,48,142,200,178,48,432,0,49,116,166,254,3203
Todos_somos_Colombia,194,240,748,87,0,165,215,1085,421,1293,175,382,477,725,179,1066,5,213,309,554,472,9005
Coalicion_Decencia,5537,4933,21913,2331,36,3877,4941,24448,9467,33001,3123,9762,13344,13734,3902,23298,500,6682,8213,8233,11270,212545
Voto_Blanco_Nacional,4289,5427,15942,1233,61,3125,4911,26222,10621,27323,2806,9142,10474,10682,2586,25767,23,5090,5991,10636,7552,189903
AICO,26,33,129,19,1,17,36,115,71,140,24,53,43,57,17,165,0,55,26,54,61,1142
ASI,37,103,145,58,0,107,86,328,141,301,37,123,112,119,69,364,0,198,51,218,84,2681
MAIS,178,149,1079,152,7,108,226,752,355,1293,124,312,625,749,252,919,0,227,323,309,670,8809
SOBERANIA,4,5,18,5,0,6,3,27,16,46,4,18,15,22,7,47,0,16,16,12,15,302
MIA,17,28,55,7,0,22,18,105,35,108,6,41,45,44,14,79,0,17,28,39,25,733
RenovacionEtnica,29,24,85,6,0,16,38,139,63,200,15,61,57,72,20,150,1,18,20,65,55,1134
CASIYOUREN,3,6,21,0,0,12,3,34,26,45,3,15,9,11,8,58,0,19,8,28,5,314
Voto_Blanco_Indigena,1546,1640,7002,486,21,843,1478,9406,3888,10723,963,3139,4531,5197,1158,8969,8,1133,2375,3254,3929,71689
Nulos,2788,3070,16235,929,18,1809,3244,17137,8060,22087,1867,5918,9393,11086,2377,17112,48,2159,4771,6407,8385,144900
No_Marcados,963,906,5929,519,16,562,585,5056,2336,7228,890,1940,4077,4016,1116,5723,53,608,1762,2190,4701,51176
Potencial votantes,107830,151739,395687,44226,1165,164621,469320,551261,243012,635825,89423,217762,256913,268972,90533,667031,2938,163008,152592,402673,219701,5296232
